skills_verified_count,years_experience,age,commute_time_minutes,shift_preference,salary_expectation,has_certifications,education_level,previous_turnovers,family_status,housing_type,has_transport,retention
10,18.1,53,61,2,85965,0,0,2,1,1,0,0
8,14.9,53,30,0,62060,1,1,1,2,1,0,1
3,22.9,48,50,1,35667,1,3,1,0,0,0,1
3,24.2,53,93,1,61017,0,3,1,2,1,1,0
6,18.9,46,139,0,35845,1,1,0,2,2,1,0
8,22.7,47,81,0,38042,0,3,2,3,1,1,0
3,7.3,39,86,1,76437,0,2,0,0,1,0,1
9,4.3,32,110,2,41936,0,3,3,1,0,1,0
6,10.1,47,118,0,147015,1,3,3,2,0,0,0
1,22.2,53,18,1,127074,1,2,2,1,1,1,0
5,3.9,35,111,1,37751,0,1,2,1,2,1,0
10,13.0,53,111,2,80227,0,2,2,0,1,0,0
8,12.8,39,120,1,53198,0,0,3,2,1,1,0
1,6.1,57,32,0,106917,0,2,3,0,1,0,0
10,0.0,21,38,0,44911,0,1,1,2,0,1,1
10,4.3,26,101,2,130747,1,1,2,1,3,1,1
1,0.0,21,60,0,85555,0,3,1,0,1,0,0
0,3.0,29,60,0,42095,0,1,5,2,0,0,0
0,1.6,26,149,1,89822,1,2,0,2,0,1,0
9,11.6,57,29,0,64380,0,2,2,0,2,1,1
8,9.5,52,56,1,69472,1,2,0,0,3,0,1
1,17.6,46,106,0,68660,1,1,1,2,0,0,0
8,18.9,50,138,1,143983,0,2,3,0,2,1,0
9,2.2,45,112,0,118199,0,3,3,3,3,1,0
5,6.8,33,156,0,67381,0,1,2,2,0,0,0
2,6.1,42,20,0,119929,0,1,1,0,0,0,0
2,11.4,58,102,1,122922,0,1,2,1,1,0,0
6,22.3,47,174,0,139580,1,0,1,0,0,1,0
1,6.4,29,138,2,125363,0,2,1,1,1,0,0
9,7.7,36,174,1,119764,0,1,0,2,0,0,0
10,3.8,25,170,1,103615,0,3,1,2,0,0,0
8,19.8,59,117,1,59891,0,1,0,3,0,1,0
6,21.5,56,162,1,108018,0,0,1,0,1,1,0
1,0.7,22,175,0,110785,1,1,1,0,1,0,0
4,4.6,26,169,2,147473,0,2,0,2,0,1,0
5,27.8,57,127,0,103084,0,1,0,2,2,0,0
7,1.5,21,172,1,115284,1,0,2,2,1,0,0
4,25.6,56,29,0,82992,0,1,4,0,1,1,0
8,1.8,23,87,0,37950,0,1,0,0,3,0,0
10,14.1,49,129,1,141442,0,2,2,3,3,1,0
4,18.2,60,112,0,144236,0,0,5,2,3,0,0
9,5.7,36,146,1,84711,1,3,3,1,2,0,0
10,3.5,28,96,0,86311,0,1,1,2,3,1,1
9,7.4,36,124,0,54392,0,2,0,2,3,1,1
0,6.3,35,54,0,78270,1,1,3,1,1,1,0
0,13.5,45,152,1,141047,0,1,1,2,3,1,0
10,7.3,33,95,0,39911,0,1,0,3,2,1,1
7,31.6,58,34,1,88394,0,2,3,0,2,0,1
4,0.3,23,160,0,144470,0,0,0,1,3,0,0
3,7.7,53,134,2,68269,0,1,3,0,1,1,0
2,13.2,49,141,0,88597,0,1,2,0,3,1,0
0,0.5,23,110,1,32661,0,1,3,1,1,1,0
6,10.4,38,72,2,126506,0,0,2,2,3,0,0
0,10.2,37,156,2,89155,0,1,0,1,1,0,0
0,21.2,53,51,0,59872,0,1,4,0,0,1,0
7,20.4,48,35,0,46632,1,1,3,0,1,0,1
3,7.7,34,27,1,93019,0,0,0,0,2,1,0
4,2.4,26,91,2,97643,0,0,2,1,1,1,0
6,19.6,52,60,0,141477,0,0,4,2,1,1,0
10,5.7,34,15,1,139591,1,0,3,3,1,1,0
10,24.9,58,152,2,63022,0,2,2,1,2,1,0
6,12.6,47,17,0,104744,0,0,2,1,1,1,1
6,2.4,26,157,1,128249,0,0,2,3,1,0,0
4,2.6,34,78,0,34318,1,2,3,0,1,0,0
6,2.3,25,177,0,104789,0,1,1,0,2,0,0
7,21.2,56,74,0,147373,1,1,0,1,3,0,1
4,10.5,43,50,2,98923,1,2,0,2,3,0,1
1,23.5,48,156,0,114954,0,1,4,0,2,0,0
3,3.5,27,20,1,99084,0,1,0,0,0,0,1
1,15.6,44,20,1,56038,0,1,0,2,0,1,0
2,0.6,26,137,1,132376,0,2,1,0,3,0,0
10,14.0,48,131,2,58517,0,0,0,0,1,1,1
2,23.4,58,30,2,73637,0,2,2,2,2,0,0
4,11.7,58,169,1,105966,1,2,1,1,0,0,0
6,13.2,45,70,1,108000,0,1,3,0,1,1,0
0,7.1,35,24,2,140009,0,1,2,2,0,0,0
1,6.8,42,156,2,62473,0,1,2,0,2,1,0
2,0.0,20,37,0,115339,0,3,3,0,1,0,0
7,10.7,50,156,2,79854,0,2,1,2,0,0,1
4,23.7,53,69,1,92730,0,2,0,0,1,1,0
1,16.4,54,153,2,54807,0,2,0,0,2,0,0
5,2.0,58,27,1,59161,0,0,0,2,2,1,0
2,24.5,54,175,0,139803,0,1,4,2,1,0,0
9,27.8,54,100,0,64259,0,1,1,0,0,0,0
0,2.2,26,71,0,116810,1,3,1,0,1,0,0
3,8.8,57,50,0,67733,0,1,1,2,3,1,1
3,19.4,58,25,2,110089,0,2,0,3,1,0,1
10,8.0,43,12,1,48009,0,0,1,3,3,1,0
4,3.3,25,54,2,37663,0,2,1,2,1,1,1
6,9.2,39,33,1,131798,1,2,5,1,1,1,1
6,33.3,60,115,2,91377,0,2,3,3,1,1,0
5,14.3,47,67,1,40423,0,1,1,1,0,1,1
3,0.5,24,48,2,121635,0,2,3,0,3,0,0
4,0.0,21,148,1,78677,0,1,1,0,1,0,0
3,14.9,48,104,2,144566,0,1,0,0,3,0,0
2,8.8,55,113,1,48077,1,3,1,1,3,0,0
1,12.0,52,102,0,58149,0,1,3,1,1,1,0
1,3.1,27,80,2,36105,0,1,0,0,1,0,0
9,6.7,53,103,0,109241,0,0,0,1,1,1,1
3,4.3,47,96,2,113509,0,0,0,3,0,0,0
9,0.0,20,70,0,86986,0,2,3,0,1,0,0
9,0.6,22,171,0,79552,0,2,4,3,2,1,0
3,9.2,39,81,2,117085,0,2,1,1,0,1,1
9,5.7,31,106,0,55676,0,2,3,1,1,0,1
3,1.1,35,141,0,126864,0,2,0,1,1,0,0
7,4.4,29,128,1,50601,1,3,2,1,1,1,0
0,11.7,45,98,1,45221,0,3,1,1,0,1,0
1,3.6,27,149,0,99805,0,3,0,1,1,1,0
7,15.7,51,134,1,96507,0,2,0,1,1,1,0
7,3.5,27,48,1,67215,0,1,1,1,0,0,1
8,4.4,30,74,0,71520,1,2,0,0,1,0,0
3,21.8,54,29,1,90712,0,2,1,3,2,0,0
2,0.7,23,178,0,99179,0,1,3,0,1,0,0
3,26.5,54,73,1,43090,1,1,2,1,1,0,0
4,7.4,28,124,2,85535,0,1,2,0,3,0,0
7,20.5,45,90,0,134212,1,3,3,0,3,1,1
7,11.0,46,133,1,93612,0,1,4,2,0,0,0
2,12.1,34,13,1,79817,0,1,0,3,1,1,0
9,1.3,27,136,2,110830,0,2,1,0,0,0,0
2,3.9,33,30,2,98113,0,1,1,2,2,1,1
1,8.2,32,98,2,130183,0,0,0,2,1,1,0
7,0.9,27,126,0,141386,0,0,2,2,2,0,0
9,20.0,49,173,2,48707,0,2,2,0,0,1,0
3,0.0,24,12,1,64333,0,1,1,2,3,1,0
4,4.0,26,58,1,94589,0,1,3,0,1,0,1
0,8.3,36,59,2,37796,0,0,0,2,0,0,0
8,15.2,47,52,2,77059,0,1,3,0,0,0,1
4,22.7,51,27,1,120762,0,1,0,1,3,0,1
6,8.5,37,127,2,38684,1,1,2,3,1,1,0
4,20.7,43,59,2,126070,1,2,0,1,3,1,1
0,8.0,35,96,0,119364,0,0,2,1,1,0,0
8,1.0,25,47,0,54758,0,1,1,2,2,0,1
8,20.3,47,177,0,93047,0,2,0,2,1,1,1
5,3.7,27,112,1,81508,0,3,0,1,0,1,0
6,0.7,20,23,2,128596,0,1,1,2,1,1,1
5,8.3,30,169,1,137723,0,1,0,0,2,1,1
6,3.5,36,67,0,111283,0,1,2,3,1,1,1
6,22.5,51,97,1,61467,0,0,0,0,1,0,0
8,1.9,25,118,1,128375,0,0,2,2,1,1,0
8,25.6,52,62,2,51720,0,0,2,0,1,0,0
1,2.2,28,170,0,51144,0,0,1,0,0,1,0
7,0.6,23,68,1,79208,0,2,2,3,3,1,0
9,19.1,46,146,1,47536,0,1,4,0,2,0,0
10,22.3,59,85,2,65370,0,0,1,0,2,0,1
0,13.0,55,80,1,147752,0,1,2,2,0,1,0
2,10.2,46,50,1,62839,0,0,2,3,2,0,0
4,0.5,25,79,0,118452,1,1,5,0,0,0,0
9,19.4,42,70,1,97048,0,3,0,2,2,0,0
8,3.2,27,144,1,78920,1,2,1,0,2,0,1
7,3.8,28,127,0,139081,0,2,2,2,0,1,0
4,6.5,42,35,0,62532,1,1,1,0,0,0,1
5,5.2,35,63,1,110812,0,0,0,3,1,0,0
9,4.6,45,19,1,43484,0,1,0,0,0,1,1
8,0.7,22,125,1,46711,0,1,0,2,3,1,0
5,3.4,35,165,1,132095,1,3,4,3,1,0,0
0,6.8,35,124,0,141574,1,2,0,1,0,1,0
8,22.7,47,144,2,48814,0,1,4,2,0,1,0
7,2.8,24,28,0,62493,1,1,1,0,1,1,1
8,4.2,41,40,2,108896,0,3,1,0,0,1,1
9,1.6,24,30,1,111979,0,0,2,2,1,0,0
2,18.6,47,129,0,38235,0,3,1,0,1,1,0
3,4.8,30,93,2,138346,1,1,2,0,1,0,0
4,17.9,50,14,2,95454,0,2,0,0,1,0,1
8,18.4,59,33,1,118354,1,0,2,1,0,0,1
7,5.6,35,134,1,109562,0,1,1,1,0,0,0
2,25.1,58,25,1,131926,0,1,2,3,1,0,0
9,0.0,20,141,2,106725,0,1,5,2,1,1,0
1,1.3,42,137,2,144731,1,1,3,1,1,0,0
4,5.1,33,64,0,121910,0,3,1,3,2,0,0
7,0.7,23,66,0,64604,0,2,3,1,0,1,0
8,13.7,38,59,1,52413,0,3,0,2,3,1,1
1,10.1,42,99,0,128364,0,3,2,3,1,1,0
0,5.1,34,24,1,99155,1,1,1,2,0,1,0
5,10.6,35,122,1,35774,1,2,5,1,0,1,0
3,9.9,37,153,2,126477,0,2,2,1,1,0,0
3,24.3,57,136,2,45221,1,1,4,2,0,1,0
1,11.0,47,64,0,46242,0,2,4,0,0,0,0
3,19.5,48,150,1,59217,0,1,0,2,1,1,1
8,17.7,43,179,2,95553,0,3,4,1,1,1,0
9,8.3,30,178,0,32908,0,0,1,1,0,1,0
4,20.3,59,131,1,105987,0,0,2,2,2,1,0
9,0.0,20,18,1,48954,1,2,4,2,1,1,1
4,18.4,41,145,1,141658,0,1,5,0,1,0,0
3,3.5,27,35,1,146816,0,2,1,0,3,0,0
8,11.7,38,76,1,52928,1,0,3,3,0,1,0
7,0.0,21,145,2,127202,0,2,2,1,1,0,0
9,26.7,58,40,1,139190,0,3,2,3,3,1,0
8,10.9,45,27,1,101766,0,2,1,2,0,0,1
2,1.0,24,16,0,113869,0,3,1,0,3,0,0
9,23.2,51,85,2,145537,1,0,1,1,0,1,1
0,6.5,44,47,1,36618,0,0,0,2,3,0,1
4,15.7,43,22,0,84632,0,1,1,1,1,0,1
9,6.3,31,144,2,115238,0,1,0,3,1,1,0
10,5.1,51,128,1,134718,0,0,1,2,1,1,0
9,10.5,35,166,2,68935,0,3,1,1,3,0,0
8,7.8,40,161,2,80765,1,3,1,0,2,0,0
10,8.0,48,41,1,147704,1,0,2,1,2,0,0
0,16.2,46,20,0,78226,0,1,1,2,0,1,1
2,8.3,33,179,2,112437,0,1,3,2,0,0,0
9,19.8,45,37,2,63441,0,1,0,2,2,1,1
2,5.0,34,31,0,107100,0,1,3,0,1,0,0
5,9.7,46,61,1,78257,0,3,0,2,0,0,0
5,6.2,28,72,0,109609,0,2,1,0,1,1,1
4,9.1,41,99,0,117400,0,3,1,0,0,1,1
10,2.3,30,62,0,110045,0,1,2,0,3,1,0
7,17.2,44,101,0,142219,0,1,1,0,3,0,0
1,32.9,55,27,1,126714,0,1,3,3,0,1,0
10,0.0,20,54,1,123816,0,2,0,0,1,1,0
8,10.7,46,85,0,137408,0,0,3,2,1,0,1
1,3.7,26,32,1,142434,0,2,1,1,2,1,0
1,5.9,41,174,1,100951,0,2,4,2,0,0,0
7,3.2,24,31,0,50508,0,1,2,0,1,0,0
9,6.6,30,161,1,60562,0,1,0,0,0,0,0
5,0.0,22,130,1,120305,1,2,0,2,0,0,0
2,26.2,58,66,1,119022,0,0,1,0,2,0,0
7,8.0,37,20,1,90994,0,1,0,3,0,0,0
9,14.5,42,35,2,82434,1,3,0,0,1,0,1
3,4.6,38,132,2,88935,1,2,0,2,0,0,0
8,12.4,48,94,1,94444,0,1,3,0,0,0,0
10,6.4,53,114,1,72085,1,3,0,2,0,1,0
9,10.2,35,163,2,73252,0,3,4,2,1,1,0
9,3.0,26,136,1,149403,0,3,2,2,3,1,0
8,6.5,49,84,1,122674,0,2,0,1,3,0,0
5,17.2,44,135,2,126486,0,0,2,2,0,0,0
10,31.9,53,59,1,47022,1,3,0,0,1,0,1
9,9.5,35,132,0,86291,0,1,0,2,0,1,0
9,14.2,42,61,1,101673,0,2,4,2,0,0,0
6,14.2,40,136,1,115035,0,1,1,0,0,0,0
10,11.7,40,43,1,121218,1,3,4,2,1,1,0
1,22.7,55,37,0,85383,0,1,0,3,3,0,0
9,17.9,55,161,1,102041,0,2,2,1,0,0,0
2,7.9,46,139,0,68655,0,3,3,2,0,0,0
7,0.0,21,62,0,43300,0,1,0,0,1,1,0
2,16.1,40,130,0,127671,0,2,1,0,0,1,0
2,7.5,28,157,1,112994,0,2,5,0,3,1,0
0,12.2,35,21,0,48638,0,3,4,3,3,1,0
2,10.3,35,16,0,93375,0,0,0,0,1,0,0
4,4.0,60,131,1,120230,0,1,2,1,3,1,0
6,15.5,44,93,0,124372,0,1,0,1,0,0,0
9,18.5,54,134,1,119459,1,2,1,2,1,1,0
4,1.2,23,40,2,76888,1,2,1,0,1,0,1
1,10.2,52,126,0,93135,0,1,1,2,2,1,0
4,10.8,41,37,2,77674,0,1,5,0,1,1,1
4,8.0,32,86,0,107443,0,3,1,3,2,1,1
7,18.4,54,100,1,39010,1,1,1,1,1,0,0
4,4.8,36,144,0,88134,0,3,5,2,1,0,0
2,8.0,35,66,2,52725,1,3,0,1,2,1,0
5,8.2,53,11,2,51898,0,2,0,0,3,1,1
2,7.2,46,157,0,35132,0,1,1,2,0,1,0
6,23.4,60,117,2,120189,1,1,2,2,3,1,1
4,18.7,46,173,0,87272,1,0,1,0,2,1,1
6,16.5,58,93,2,138225,0,1,2,1,1,1,0
4,12.4,34,75,0,88076,0,2,1,0,1,0,0
10,4.3,29,177,0,50755,1,1,1,0,3,0,0
6,24.0,53,46,2,67298,0,1,2,0,1,1,1
10,12.1,37,68,2,125921,0,1,2,0,0,0,0
2,19.7,55,84,0,75886,1,1,1,3,1,1,0
0,0.4,21,129,0,108848,1,0,3,3,1,0,0
6,2.9,27,19,2,133931,0,1,3,2,1,0,1
2,19.3,52,85,1,79163,0,2,1,2,1,1,0
7,26.2,52,103,0,94590,1,2,3,0,3,1,1
10,13.0,43,126,1,77106,0,1,3,0,3,1,0
6,4.3,29,151,0,65592,0,0,1,2,1,1,0
7,7.9,47,148,2,144163,0,3,0,0,0,0,1
4,0.8,23,66,1,133179,0,1,1,1,0,0,0
4,10.0,32,134,2,115119,0,2,0,2,1,1,0
7,11.7,46,120,2,147187,1,1,1,2,1,1,0
5,13.5,56,69,2,119151,0,2,3,2,2,0,0
0,6.1,34,117,2,102215,0,1,2,0,1,0,0
7,7.3,57,70,2,56282,1,0,1,0,1,1,1
9,13.4,39,92,1,49128,1,2,0,1,1,0,0
5,17.9,57,162,0,88759,0,3,0,0,1,0,0
0,16.7,50,164,0,38842,0,2,0,1,0,1,0
2,1.7,30,72,0,125327,0,0,0,0,1,0,0
7,4.2,29,64,2,114081,0,0,3,1,1,0,0
10,0.0,20,15,1,111700,0,2,0,1,1,1,0
2,3.7,25,170,0,136171,1,0,4,2,3,0,0
5,24.1,49,148,0,62204,1,1,1,1,3,1,1
2,28.9,58,160,1,116020,1,0,0,2,1,1,0
0,17.3,55,109,2,115563,1,0,2,2,1,1,0
10,11.5,52,72,0,30441,1,3,0,2,1,0,1
0,2.6,25,75,0,128106,0,1,4,0,0,1,0
9,3.6,27,158,0,103071,0,2,2,1,3,0,0
8,26.2,56,77,0,149175,1,0,1,2,1,1,1
2,17.0,60,92,0,81751,0,0,2,2,1,0,0
10,12.1,49,22,0,100393,0,3,1,1,0,0,1
2,18.2,56,18,0,60997,1,2,0,1,0,1,1
0,9.4,47,30,1,78698,0,3,5,3,3,1,0
4,20.2,56,30,2,73229,1,1,2,0,2,1,1
8,8.4,33,137,1,50543,0,1,3,0,2,1,0
8,25.4,57,117,0,59596,0,1,0,3,1,1,1
2,20.6,50,67,2,105306,0,2,0,0,1,1,0
4,9.4,38,155,2,91596,0,3,5,2,2,1,0
2,16.6,58,164,1,129521,1,2,2,0,1,1,0
6,2.1,51,49,0,57583,1,2,1,0,1,0,1
9,2.6,36,163,0,101116,0,1,0,3,3,1,0
7,14.6,58,164,1,82680,0,0,0,0,1,1,0
2,0.0,21,74,1,56330,1,1,1,1,1,1,0
3,11.9,36,105,1,146924,0,1,0,1,1,1,1
4,8.9,34,99,1,60329,0,2,1,2,1,0,0
6,15.2,60,21,1,137586,1,3,0,2,3,1,1
9,27.9,55,148,0,32077,1,3,2,3,1,0,0
9,8.4,37,63,2,128766,0,2,1,2,1,1,1
1,7.4,42,61,0,67226,0,0,1,1,3,0,0
4,5.9,30,96,0,128217,1,2,1,0,2,0,0
0,1.8,24,127,2,89044,1,1,0,0,1,0,0
5,4.0,27,85,0,131314,0,1,1,0,2,0,0
0,2.5,38,138,0,133321,0,0,1,0,2,1,0
3,10.5,31,48,0,36014,1,1,0,0,1,1,1
8,5.2,37,37,2,96649,0,0,0,0,3,0,1
8,7.5,39,31,0,54681,1,0,1,1,3,1,1
6,0.4,21,95,2,121218,0,1,0,1,3,1,0
3,3.4,26,38,2,90838,0,1,3,2,0,1,1
8,13.8,50,68,0,81282,0,1,1,3,0,0,1
0,1.8,26,20,2,53782,0,2,1,3,0,0,0
4,1.2,22,108,1,149058,0,0,5,0,1,1,0
10,7.3,32,92,0,85382,0,1,1,2,0,0,1
7,10.6,54,60,0,137362,0,1,1,0,1,0,1
9,10.9,53,100,1,34379,0,2,1,2,2,1,0
4,12.2,45,168,0,86563,0,2,1,1,3,1,0
9,14.4,49,107,1,36175,0,2,0,2,0,0,0
5,5.6,30,156,0,110245,1,2,2,1,0,0,1
10,16.6,56,92,0,140513,0,3,1,0,0,0,0
2,12.4,37,176,1,74427,0,0,1,0,1,1,0
6,30.8,59,133,1,117802,0,2,0,1,0,1,0
10,21.7,46,13,2,94089,0,2,1,1,0,1,1
2,0.0,22,150,2,145558,0,1,1,0,1,1,0
6,9.8,40,63,2,118117,0,2,0,0,1,1,0
0,9.9,36,119,0,117856,1,1,1,0,1,1,0
10,1.8,28,52,2,136852,0,1,3,2,1,1,0
8,1.8,25,109,0,46038,1,3,3,2,1,1,1
8,19.2,53,10,1,55995,1,1,1,1,1,1,1
